flight_date,flight_status,departure.airport,departure.timezone,arrival.airport,arrival.timezone,arrival.terminal,airline.name,flight.number
2021-03-29,active,Beijing Capital International,Asia/Shanghai,Dayong,Asia - Shanghai,T2,Shenzhen Airlines,1359.0
2021-03-29,active,Dayong,Asia/Shanghai,Guangzhou Baiyun International,Asia - Shanghai,2,China Southern Airlines,3246.0
2021-03-29,active,Dayong,Asia/Shanghai,Jinan,Asia - Shanghai,T1,Shandong Airlines,8068.0
2021-03-29,active,Dayong,Asia/Shanghai,Jinan,Asia - Shanghai,T1,Air China LTD,8068.0
2021-03-29,active,Dayong,Asia/Shanghai,Jinan,Asia - Shanghai,T1,Shenzhen Airlines,2650.0
2021-03-29,active,Central Wisconsin,America/Chicago,Minneapolis - St. Paul International,America - Chicago,1,Delta Air Lines,4965.0
2021-03-29,active,Leonardo Da Vinci (Fiumicino),Europe/Rome,Lisbon Portela,Europe - Lisbon,1,Azul,7270.0
2021-03-29,active,Leonardo Da Vinci (Fiumicino),Europe/Rome,Lisbon Portela,Europe - Lisbon,1,Aegean Airlines,1737.0
2021-03-29,active,Shenyang,Asia/Shanghai,Urumqi,Asia - Shanghai,3,China Southern Airlines,6461.0
2021-03-29,active,John F Kennedy International,America/New_York,Cibao International Airport,America - Santo_Domingo,5,JetBlue Airways,2137.0
2021-03-29,active,John F Kennedy International,America/New_York,Aeropuerto de las Américas,America - Santo_Domingo,4,JetBlue Airways,209.0
2021-03-29,active,John F Kennedy International,America/New_York,El Salvador International,America - El_Salvador,,SA AVIANCA,567.0
2021-03-29,active,John F Kennedy International,America/New_York,El Salvador International,America - El_Salvador,,Turkish Airlines,9402.0
2021-03-29,active,Aeroporto Internacional Guarulhos,America/Sao_Paulo,Luis Eduardo Magalhaes,America - Bahia,2,Air France,1931.0
2021-03-29,active,Aeroporto Internacional Guarulhos,America/Sao_Paulo,Luis Eduardo Magalhaes,America - Bahia,2,American Airlines,7684.0
2021-03-29,active,Francisco Sá Carneiro,Europe/Lisbon,Nantes Atlantique,Europe - Paris,2,Transavia France,4651.0
2021-03-29,active,Hangzhou,Asia/Shanghai,Urumqi,Asia - Shanghai,3,Xiamen Airlines,4776.0
2021-03-29,active,Hangzhou,Asia/Shanghai,Urumqi,Asia - Shanghai,3,KLM,4493.0
2021-03-29,active,John F Kennedy International,America/New_York,Tampa International,America - New_York,3,El Al,8756.0
2021-03-29,active,John F Kennedy International,America/New_York,Doha International,Asia - Qatar,3,American Airlines,8118.0
2021-03-29,active,John F Kennedy International,America/New_York,Doha International,Asia - Qatar,3,SriLankan Airlines,3514.0
2021-03-29,active,John F Kennedy International,America/New_York,Doha International,Asia - Qatar,3,Oman Air,6044.0
2021-03-29,active,John F Kennedy International,America/New_York,Doha International,Asia - Qatar,3,Malaysia Airlines,9068.0
2021-03-29,active,Mutiara,Asia/Makassar,Soekarno-Hatta International,Asia - Jakarta,2,Citilink,633.0
2021-03-29,active,,,Chongqing Jiangbei International,Asia - Shanghai,3,Shenzhen Airlines,4674.0
2021-03-29,active,Hangzhou,Asia/Shanghai,Chongqing Jiangbei International,Asia - Shanghai,3,Shandong Airlines,4578.0
2021-03-29,active,Fenghuang International (Phoenix International),Asia/Shanghai,Xianyang,Asia - Shanghai,2,Hainan Airlines,7877.0
2021-03-29,active,John F Kennedy International,America/New_York,El Salvador International,America - El_Salvador,,ANA,7833.0
2021-03-29,active,Louisville International (Standiford Field),America/Kentucky/Louisville,Internacional Benito Juarez,America - Mexico_City,1,UPS Airlines,320.0
2021-03-29,active,Akron/canton Regional,America/New_York,William P Hobby,America - Chicago,S,empty,74.0
2021-03-29,active,George Bush Intercontinental,America/Chicago,Prestwick,Europe - London,,empty,
2021-03-29,active,Shanghai Pudong International,Asia/Shanghai,Lester B. Pearson International,America - Toronto,1,China Eastern Airlines,7207.0
2021-03-29,active,Shanghai Pudong International,Asia/Shanghai,Chicago O'hare International,America - Chicago,3,China Eastern Airlines,7717.0
2021-03-29,active,Novy Urengoy,Asia/Yekaterinburg,Chelyabinsk,Asia - Yekaterinburg,A,UVT Aero,618.0
2021-03-29,active,Zhuhai Airport,Asia/Shanghai,Huangyan,Asia - Shanghai,T3,Suparna Airlines,7541.0
2021-03-29,active,John F Kennedy International,America/New_York,Tampa International,America - New_York,3,Delta Air Lines,2063.0
2021-03-29,active,John F Kennedy International,America/New_York,Tampa International,America - New_York,3,Virgin Atlantic,4895.0
2021-03-29,active,John F Kennedy International,America/New_York,Tampa International,America - New_York,3,KLM,5536.0
2021-03-29,active,John F Kennedy International,America/New_York,Southwest Florida International,America - New_York,C,Delta Air Lines,1396.0
2021-03-29,active,John F Kennedy International,America/New_York,Southwest Florida International,America - New_York,C,Virgin Atlantic,1927.0
2021-03-29,active,John F Kennedy International,America/New_York,Southwest Florida International,America - New_York,C,KLM,6547.0
2021-03-29,active,John F Kennedy International,America/New_York,Seattle-Tacoma International,America - Los_Angeles,3,JetBlue Airways,138.0
2021-03-29,active,John F Kennedy International,America/New_York,Salt Lake City International,America - Denver,4,Delta Air Lines,706.0
2021-03-29,active,John F Kennedy International,America/New_York,Salt Lake City International,America - Denver,4,Virgin Atlantic,4731.0
2021-03-29,active,John F Kennedy International,America/New_York,Salt Lake City International,America - Denver,4,KLM,5906.0
2021-03-29,active,John F Kennedy International,America/New_York,Cyril E King Airport,America - St_Thomas,C,JetBlue Airways,1040.0
